PAYROLL,COMPONENT,GL,BRANCH,AMOUNT(SLL)
"January 2022 Salary - Permanent Staff","NASSIT 10% (Payt)",143000000001,"KENEMA BRANCH",14860862.32
"January 2022 Salary - Permanent Staff","NASSIT 10% (Payt)",143000000001,"WELLINGTON BRANCH",16633673.44
"January 2022 Salary - Permanent Staff","NASSIT 10% (Payt)",143000000001,"WILBERFORCE STREET BRANCH",12955156.54
"January 2022 Salary - Permanent Staff","NASSIT 10% (Payt)",143000000001,"KOIDU BRANCH",11946585.26
"January 2022 Salary - Permanent Staff","NASSIT 10% (Payt)",143000000001,"MOYAMBA BRANCH",6916916.04
"January 2022 Salary - Permanent Staff","NASSIT 10% (Payt)",143000000001,"PUJEHUN BRANCH",9836998.86
"January 2022 Salary - Permanent Staff","NASSIT 10% (Payt)",143000000001,"CONGO CROSS BRANCH",37033881.36
"January 2022 Salary - Permanent Staff","NASSIT 10% (Payt)",143000000001,"MAKENI BRANCH",14835840.90
"January 2022 Salary - Permanent Staff","NASSIT 10% (Payt)",143000000001,"CHARLOTTE STREET BRANCH",15822644.46
"January 2022 Salary - Permanent Staff","NASSIT 10% (Payt)",143000000001,"KABALA BRANCH",7766638.92
"January 2022 Salary - Permanent Staff","NASSIT 10% (Payt)",143000000001,"KAILAHUN BRANCH",6095022.54
"January 2022 Salary - Permanent Staff","NASSIT 10% (Payt)",143000000001,"WILKINSON ROAD BRANCH",9444923.06
"January 2022 Salary - Permanent Staff","NASSIT 10% (Payt)",143000000001,"JUBA BRANCH",19883995.92
"January 2022 Salary - Permanent Staff","Net Salary",,"HEAD OFFICE",2873609708.92
"January 2022 Salary - Permanent Staff","Net Salary",,"SIAKA STEVENS STREET BRANCH",1022452754.08
"January 2022 Salary - Permanent Staff","Net Salary",,"CLOCK TOWER BRANCH",133857907.88
"January 2022 Salary - Permanent Staff","Net Salary",,"BO BRANCH",303330333.48
"January 2022 Salary - Permanent Staff","Net Salary",,"KENEMA BRANCH",143839974.36
"January 2022 Salary - Permanent Staff","Net Salary",,"WELLINGTON BRANCH",158631665.38
"January 2022 Salary - Permanent Staff","Net Salary",,"WILBERFORCE STREET BRANCH",118410369.94
"January 2022 Salary - Permanent Staff","Net Salary",,"KOIDU BRANCH",115867980.24
"January 2022 Salary - Permanent Staff","Net Salary",,"MOYAMBA BRANCH",70521018.50
"January 2022 Salary - Permanent Staff","Net Salary",,"PUJEHUN BRANCH",89585849.62
"January 2022 Salary - Permanent Staff","Net Salary",,"CONGO CROSS BRANCH",329692107.42
"January 2022 Salary - Permanent Staff","Net Salary",,"MAKENI BRANCH",152412903.90
"January 2022 Salary - Permanent Staff","Net Salary",,"CHARLOTTE STREET BRANCH",144135481.74
"January 2022 Salary - Permanent Staff","Net Salary",,"KABALA BRANCH",75140429.28
"January 2022 Salary - Permanent Staff","Net Salary",,"KAILAHUN BRANCH",67616327.66
"January 2022 Salary - Permanent Staff","Net Salary",,"WILKINSON ROAD BRANCH",88624382.02
"January 2022 Salary - Permanent Staff","Net Salary",,"JUBA BRANCH",178858849.14
"January 2022 Salary - Permanent Staff",Overtime,143000000010,"HEAD OFFICE",40030000.00
"January 2022 Salary - Permanent Staff",Overtime,143000000010,"SIAKA STEVENS STREET BRANCH",2260000.00
"January 2022 Salary - Permanent Staff",Overtime,143000000010,"CLOCK TOWER BRANCH",0.00
"January 2022 Salary - Permanent Staff",Overtime,143000000010,"BO BRANCH",0.00
"January 2022 Salary - Permanent Staff",Overtime,143000000010,"KENEMA BRANCH",0.00
"January 2022 Salary - Permanent Staff",Overtime,143000000010,"WELLINGTON BRANCH",0.00
"January 2022 Salary - Permanent Staff",Overtime,143000000010,"WILBERFORCE STREET BRANCH",0.00
"January 2022 Salary - Permanent Staff",Overtime,143000000010,"KOIDU BRANCH",0.00
"January 2022 Salary - Permanent Staff",Overtime,143000000010,"MOYAMBA BRANCH",2280000.00
"January 2022 Salary - Permanent Staff",Overtime,143000000010,"PUJEHUN BRANCH",0.00
"January 2022 Salary - Permanent Staff",Overtime,143000000010,"CONGO CROSS BRANCH",2740000.00
"January 2022 Salary - Permanent Staff",Overtime,143000000010,"MAKENI BRANCH",970000.00
